site,Es_var,r_swc,p_swc,s_swc,i_swc,r_vpd,p_vpd,s_vpd,i_vpd,r_sw,p_sw,s_sw,i_sw,r_ta,p_ta,s_ta,i_ta
AUS_RIC_EUC_ELE,Ete_Es_mm_day_y,0.2436428514212046,0.005042880373106095,1.0741731118147007,2.035213853953742,-0.25061392527421444,0.0038876251110441205,-0.12761320074844384,2.3664194154132074,0.2837106370947794,0.0010240269760762347,0.0007728767074831064,1.767052922024893,-0.1519850285374912,0.08310306687291108,-0.01582580220511957,2.5512855325744623
AUS_WOM,Eob_Es_mm_day_y,0.25701744015013184,0.0004129966766147825,13.267727133565325,8.801331139701794,0.6917789712306458,1.1271219005188375e-27,2.359299869210611,8.244026168631931,0.5630309653053994,7.310351241430253e-17,0.011117936235237104,4.428898749268079,0.6561309442760193,3.777539863070529e-24,0.3409247654858719,4.661036526563462
AUS_WOM,Eru_Es_mm_day_y,-0.05968264129071687,0.4196726466323225,-1.3194192744019542,4.557303732310627,0.8106082870606288,2.1358193630515706e-44,1.1839345068297336,2.8177216270430767,0.4801694233968772,4.635179608382658e-12,0.004060572334547749,1.8321051284260865,0.8033691829728278,4.621579405144159e-43,0.17876564089674318,0.8716747067711101
AUT_TSC,Psy_Es_mm_day_y,0.32310077520721164,0.08733736493917979,4.048151888268942,0.7253745422718079,0.3989024005763417,0.03206940838113621,0.29319164920003304,0.7099638773890096,0.4737891898751292,0.009424153500980104,0.0014569365560598124,0.42669560044687405,0.5492839662460887,0.0020281718624617206,0.05259167057216477,0.06516975711991724
CAN_TUR_P39_POS,Pst_Es_mm_day_y,0.41970905175884804,6.648053234850868e-08,22.22040276064877,0.9710320050521266,0.31927658426829103,5.75480747866461e-05,1.0057513497788968,1.7288928017938647,0.48871534187769,1.4634328244311944e-10,0.0049924591249946235,0.1075834437136951,0.06542084115475337,0.4217227144457175,0.01826339197152664,2.483167911121503
CAN_TUR_P39_PRE,Pst_Es_mm_day_y,0.39323922499282477,4.340603909875536e-05,11.569472972679957,1.0477849344793284,0.26919058171945853,0.006221371055633214,0.542882214535931,1.610644757711515,0.3106205042322261,0.001485840474202666,0.0018092313644741175,1.1184017475915389,0.036172706546628,0.7181427260568896,0.006036310282807242,1.9452092873487055
CAN_TUR_P74,Pst_Es_mm_day_y,0.36827285567172385,1.6258314098005295e-05,24.66747303956627,0.7503631838829179,0.23404052908292805,0.00736160228811787,0.8227191498752534,2.171193505693744,0.5672641465635174,1.969183157627171e-12,0.00678924840622032,-0.5956956935472872,0.1303463215572249,0.13937116088715146,0.03748553388977447,2.204930209774411
CHE_DAV_SEE,Pab_mean_y,-0.6580131455561948,0.0006428065065658177,-3.169601382451595,1.496632017927499,0.8000456483278905,4.5995451194453204e-06,0.20826290765257954,0.3782087607126973,0.6579991329878777,0.000643037522241377,0.00044923649634371574,0.50275738201502,0.7498435472427946,3.799248896843551e-05,0.015102887293797579,0.49861348320677856
CHE_PFY_CON,Psy_Es_mm_day_y,0.3134472003836009,0.03602390733508465,17.61050697305315,-1.0065524376152917,0.03459127650543023,0.8215257874096346,0.059288166811311396,1.5260146564270298,0.3502284609829256,0.01834735458290343,0.004739993334179781,-0.507314970422799,0.10475632386990902,0.4934449651988819,0.027428340016119095,0.954801531756616
CHE_PFY_IRR,Psy_Es_mm_day_y,0.4289118025841497,0.4711321201706366,1.5418693987963554,0.5452361165255442,0.9428139562531681,0.01627451765172173,0.8108953346881007,0.005829819833204297,0.4872189242529377,0.40515473575527305,0.0019609498135502025,0.014510139849163495,0.19481242390761105,0.7535351220744279,0.01189824963275804,0.6212555078671509
CZE_BIK,Pab_Es_mm_day_y,0.6160990563061995,0.00022424387178979728,30.753289383789767,-4.759354644552781,0.6641132645017488,4.6279758215867765e-05,2.114885239327802,1.5229187893271996,0.873260318723,1.46722169704578e-10,0.007841090534406884,0.021532328109433507,0.4566104171410904,0.009821030354503917,0.13805793211773534,0.8791345012524574
CZE_LAN,Cbe_Es_mm_day_y,0.3882534428563028,0.006393750855677736,1.6374212680432918,0.13905046960654432,0.7636985445263382,2.7322224181256946e-10,0.37722445286804823,0.22877188557416178,0.9118176404252262,2.106321350468506e-19,0.0017090335453018774,-0.11303234714470034,0.4929761426559916,0.00037110095674105755,0.02976794074110196,0.0472513139559092
CZE_LAN,Fex_Es_mm_day_y,0.016056159708568718,0.9137458390902934,0.0571113974173132,0.49664955011611406,0.3870548145226432,0.006573128631766968,0.1612450325301897,0.31232722540961405,0.3338049608030957,0.020413968710129682,0.0005276809061127023,0.2634664484003229,0.5248464899440715,0.00012831477450823048,0.026729521428136727,-0.07531718167688284
CZE_LAN,Qro_Es_mm_day_y,-0.3049522564053856,0.0350683948716976,-1.2088199783335898,1.2182568492899737,0.7045920969952512,2.2829057572131227e-08,0.3271148863370394,0.3854441453717179,0.48836017246022795,0.0004291635869916598,0.0008603348235384649,0.3870715018323475,0.771475303234395,1.3870426381138388e-10,0.04378542649923914,-0.16983146704647
CZE_LIZ_LES,Pab_Es_mm_day_y,0.062141757923510094,0.5938420206176611,1.2605416358215098,1.3938063984014553,0.6794781362711412,5.308952918654771e-11,0.9979158458308259,0.6326750466874351,0.31798573883651987,0.005122256707879158,0.001527803842126527,0.9374083849004046,0.670645229581303,1.1572744786391449e-10,0.10304373315709651,-0.20632924207448888
CZE_STI,Fsy_Es_mm_day_y,-0.10507054813647745,0.42836652191008073,-6.275709258067664,6.722729759641096,0.7197440006835008,1.3315186087155858e-10,3.0960130452702357,2.1824261441480868,0.6292142960901573,9.42059214089325e-08,0.00945432672778811,0.9042468389150153,0.8302262713197444,4.2888146180355145e-16,0.35615546491733563,-2.2220004007212237
DEU_STE_4P5,Fsy_Es_mm_day_y,-0.0771426099736908,0.4167166620192567,-4.087353455713399,3.3602970235342706,0.15557166820068172,0.09988810524330197,0.277191851965346,2.778089391187513,0.28079737429371143,0.002590336555130721,0.002362201190004853,2.1805336782537896,0.28318579339451094,0.002371239592677263,0.06577065884288304,1.7519108933283691
ESP_ALT_ARM,Pni_Es_mm_day_y,0.6533212496135874,6.745441840439725e-11,6.229509174475019,0.17053371024635114,-0.04583041833397723,0.6883702884878116,-0.03251122436324431,0.47642050951668413,0.7354701862668603,1.172204690858744e-14,0.002840373745408392,-0.8515343542380833,0.21872755975088534,0.052791146567281656,0.025876657673834905,-0.16959964902661379
ESP_ALT_ARM,Qfa_Es_mm_day_y,-0.13920738361819548,0.22112264465926426,-1.3476793514437677,0.9261601517394422,0.09733089705055276,0.39347324876044254,0.07010152849524488,0.7357899316290738,0.3118399149614964,0.005147739059025428,0.0012227548051138846,0.32972406465178805,0.23704216678597229,0.03543318094405145,0.028472626996915554,0.23345075690579042
