site,species,const,b_swc,b_vpd,b_sw,b_ta,p_const,p_swc,p_vpd,p_sw,p_ta,r2,r2_adj,f_pvalue
AUS_RIC_EUC_ELE,Ete,6.17562E-16,0.215557396,-0.721574881,0.470325653,0.39412101,1,0.006596521,1.13009E-05,4.98795E-08,0.011693664,0.306891629,0.284888189,1.89976E-09
AUS_WOM,Eob,-7.73687E-16,0.246873153,0.170013331,0.475197653,0.493960708,1,1.19548E-10,0.103429408,1.08811E-26,3.34833E-06,0.772716252,0.767665502,8.70197E-57
AUS_WOM,Eru,-1.94289E-16,-0.051260871,0.130831748,0.430680841,0.652720325,1,0.091956619,0.134707991,1.06272E-29,1.94115E-12,0.840287848,0.836738689,1.53035E-70
AUT_TSC,Psy,-1.80411E-16,0.308735256,-0.931956441,0.76803824,1.060640578,1,0.014305978,0.002529256,0.000203922,6.02717E-05,0.674474018,0.620219688,1.28756E-05
CAN_TUR_P39_POS,Pst,1.31839E-16,0.523059465,0.039259405,0.402667933,0.186476661,1,3.99072E-11,0.686050185,5.27163E-06,0.032339959,0.441056857,0.425950286,6.79262E-18
CAN_TUR_P39_PRE,Pst,7.21645E-16,0.407057206,0.079500634,0.104708851,0.145948538,1,0.000279009,0.557960563,0.422763516,0.196712672,0.219275752,0.187080938,7.11047E-05
CAN_TUR_P74,Pst,3.52149E-16,0.449965439,-0.066236124,0.610655491,0.100528881,1,2.22983E-09,0.491581616,7.45861E-12,0.246339657,0.509714656,0.494025525,1.47804E-18
CHE_DAV_SEE,Pab,-5.37764E-16,-0.06670096,0.468631622,0.260430415,0.263834588,1,0.814485789,0.018734062,0.16300145,0.361006657,0.78801445,0.74090655,6.99551E-06
CHE_PFY_CON,Psy,-1.49186E-16,0.399016587,,0.42968956,,1,0.00481091,,0.002572014,,0.275560146,0.24106301,0.001148283
CHE_PFY_IRR,Psy,-8.88178E-16,,,,,1,,,,,0,0,nan
CZE_BIK,Pab,-4.30211E-16,0.14436883,,0.728988498,0.186062098,1,0.17448039,,2.15966E-07,0.045559982,0.810500121,0.789444578,6.8384E-10
CZE_LAN,Cbe,-2.98372E-16,0.178610406,0.27055026,0.612184486,0.111502068,1,0.014591267,0.05714807,8.41526E-08,0.329234687,0.889133418,0.878820248,5.84472E-20
CZE_LAN,Fex,4.85723E-17,0.150357273,-0.828180546,0.432061991,1.11688786,1,0.35726637,0.012767282,0.054876708,9.8359E-05,0.412282002,0.35761056,0.000107446
CZE_LAN,Qro,-1.83881E-16,-0.353692542,-0.321702229,0.610930281,0.704083577,1,0.002678117,0.148931837,0.000201903,0.000294198,0.722727599,0.696934818,1.74178E-11
CZE_LIZ_LES,Pab,1.38778E-17,0.220574618,0.459098307,-0.142689117,0.387449036,1,0.010865042,0.008667639,0.175912336,0.013696947,0.55075818,0.523937773,4.43623E-11
CZE_STI,Fsy,-3.40006E-16,-0.205092375,-0.161867827,0.427307164,0.697266784,1,0.016989371,0.271568662,0.00084587,3.60636E-07,0.75280275,0.734491842,8.73134E-16
DEU_STE_4P5,Fsy,-1.59595E-16,0.040393215,-0.633504051,0.421281026,0.591347256,1,0.693905194,0.001635799,0.00190659,0.000544163,0.184084428,0.153865332,0.000185303
ESP_ALT_ARM,Pni,4.68375E-17,0.164364186,-0.917578146,0.662365633,0.743329709,1,0.030345872,8.91248E-10,7.62587E-13,6.03961E-08,0.799172474,0.788316932,4.89493E-25
ESP_ALT_ARM,Qfa,-1.11022E-15,-0.669320337,-1.060616581,0.66569891,0.775549782,1,2.31432E-06,1.55668E-05,4.47232E-06,0.000607032,0.381373062,0.347933768,2.89837E-07
ESP_ALT_ARM,Qil,-5.20417E-17,-0.324421893,-1.091380036,0.704979015,0.989065322,1,0.004047607,2.43114E-07,2.19988E-08,6.11504E-07,0.566724187,0.543303873,7.98161E-13
ESP_ALT_HUE,Pni,-9.71445E-16,-0.254519871,,-0.286776241,,1,0.294787273,,0.23954908,,0.084700731,-0.006829196,0.41269685
ESP_ALT_HUE,Qfa,-1.30104E-16,0.325184117,,-0.196595765,,1,0.157286652,,0.3849195,,0.198978909,0.1188768,0.108752566
ESP_CAN,Aun,-1.38778E-17,0.438284574,0.064297971,0.535025881,-0.179002095,1,1.63723E-13,0.429262881,1.62263E-16,0.017358717,0.568953103,0.55963317,8.37358E-33
ESP_CAN,Pha,4.51028E-17,0.764099939,-0.038847048,0.253670268,-0.089609227,1,6.49187E-37,0.579093486,5.76636E-07,0.173097457,0.734079661,0.727513727,1.53584E-45
ESP_CAN,Qil,-1.37043E-16,0.445665405,0.07009352,0.502602056,-0.321753572,1,2.06017E-14,0.376950859,1.32221E-15,1.64227E-05,0.59016019,0.581298789,8.16213E-35
ESP_CAN,Qpu,-2.87097E-16,0.540657113,-0.313487427,0.290591841,0.191252432,1,1.2239E-15,0.000708949,1.84187E-05,0.023322893,0.457871672,0.446149978,1.10018E-23
ESP_TIL_MIX,Psy,1.10155E-16,0.825702922,-0.108806721,0.226304806,0.370928557,1,4.17761E-53,0.084031504,4.36791E-08,9.41817E-08,0.57813578,0.573435343,5.47971E-66
ESP_TIL_MIX,Qil,-3.29597E-17,0.376619086,-0.168565199,0.518433372,0.335123211,1,8.77188E-11,0.031104409,3.11169E-23,0.00011181,0.381925401,0.374800622,3.74437E-35
ESP_TIL_OAK,Qil,1.07553E-16,0.736597582,-0.142440032,0.43770209,0.384252131,1,2.11074E-20,0.081034944,2.96895E-12,3.19412E-05,0.7031459,0.693250764,9.72644E-31
ESP_TIL_PIN,Psy,7.80626E-17,0.877560126,-0.182404663,0.342379722,0.584240068,1,8.96945E-37,0.01965305,9.95932E-11,8.45936E-12,0.739157184,0.731704532,7.39044E-40
ESP_VAL_BAR,Qpu,1.92554E-16,-0.424818228,0.668883609,-0.153217132,-0.261987279,1,8.79401E-06,0.000182499,0.169739858,0.096106284,0.375704529,0.344094631,1.31122E-07
ESP_VAL_SOR,Psy,-1.04083E-16,0.495639076,-0.266485721,0.307467649,0.640244408,1,1.09084E-05,0.053911799,0.002188438,6.10303E-05,0.403381571,0.374278233,1.11573E-08
FIN_PET,Bpu,1.11022E-16,-0.05469428,0.713421156,0.400727152,-0.658456872,1,0.764312435,0.060474802,0.08576992,0.051302424,0.468856187,0.357036437,0.013373374
FRA_PUE,Qil,0,0.18684059,-0.347875964,0.619360587,0.117685907,1,1.61848E-07,4.50444E-07,2.85813E-49,0.049903608,0.307319488,0.303625192,1.84178E-58
GBR_ABE_PLO,Psi,1.73472E-16,0.649072929,-0.073888599,0.267737393,-0.243732508,1,5.30521E-05,0.791657673,0.145569438,0.311063171,0.662345017,0.600953201,5.38938E-05
GBR_DEV_CON,Psy,3.95517E-16,-0.286767412,0.556327024,0.410316639,0.011044,1,0.000683998,2.38488E-07,4.24748E-05,0.905190041,0.728608893,0.71310083,3.97296E-19
GBR_DEV_DRO,Psy,2.22045E-16,0.400969521,0.07508381,0.530032607,-0.025297928,1,2.99139E-05,0.509023572,1.26514E-06,0.812761202,0.565789001,0.54486317,2.25632E-14
GBR_GUI_ST1,Psy,1.66533E-16,0.128052852,,0.755768754,,1,0.510055511,,0.002022066,,0.644391403,0.579735295,0.003391153
GBR_GUI_ST2,Psy,-3.46945E-16,0.169785223,,0.863841907,-0.092026456,1,0.205928642,,4.0817E-05,0.545663894,0.804850709,0.772325828,1.31331E-06
GBR_GUI_ST3,Psy,-2.77556E-16,-0.186526419,,0.904192254,,1,0.137570835,,3.53167E-06,,0.820938811,0.793390935,1.39479E-05
GUF_GUY_GUY,Ggl,1.94289E-16,0.574072225,0.087018957,0.358269082,-0.310328466,1,1.30602E-09,0.448784452,0.004342422,0.001091705,0.379417224,0.353559608,2.17751E-09
GUF_GUY_GUY,Isa,1.48839E-15,-0.499355716,0.372019016,0.221041421,-0.130161283,1,1.08966E-09,0.000344426,0.017659717,0.038785628,0.786924767,0.772229923,8.02441E-19
GUF_GUY_GUY,Lme,-2.35922E-16,0.239981826,-0.157570852,0.079379337,0.422356211,1,0.031708676,0.287182926,0.623837077,0.000724369,0.249839604,0.208164026,0.000320109
