site,species,const,b_swc,b_vpd,b_sw,b_ta,p_const,p_swc,p_vpd,p_sw,p_ta,r2,r2_adj,f_pvalue
AUS_RIC_EUC_ELE,Ete,1.249E-15,-0.209984685,-0.621235286,0.63900964,0.153173826,1,0.027244596,0.003259172,8.23292E-11,0.472123935,0.472092451,0.446022943,1.16739E-10
AUS_WOM,Eob,-2.01228E-16,0.261321764,0.00571244,0.433484982,0.725083723,1,3.70224E-08,0.965833889,2.19006E-16,2.31786E-07,0.756976588,0.749137123,3.89775E-37
AUS_WOM,Eru,-9.29812E-16,-0.066956469,0.04368035,0.371237386,0.775299973,1,0.073773164,0.694708842,5.39746E-17,1.29764E-10,0.830852006,0.825395619,7.46123E-47
AUT_TSC,Psy,2.77556E-17,-0.033171388,,0.763266337,,1,0.877197455,,0.003073812,,0.559150885,0.491327945,0.004873992
CAN_TUR_P39_POS,Pst,6.245E-17,0.550817928,-0.011599841,0.327492102,-0.052578932,1,2.30153E-07,0.935966231,0.010048221,0.642391376,0.469203354,0.440118606,1.65264E-09
CAN_TUR_P39_PRE,Pst,-6.8695E-16,0.057880721,0.354099285,-0.159265772,-0.228940645,1,0.703730282,0.111130462,0.42830106,0.18180221,0.080676055,0.00713014,0.3683625
CAN_TUR_P74,Pst,-2.35922E-16,0.451107136,-0.290448557,0.651092542,0.09914484,1,9.42669E-06,0.043090807,2.4651E-07,0.369121282,0.548014344,0.521426952,3.69159E-11
CHE_DAV_SEE,Pab,-5.55112E-17,-0.219657786,0.255719486,0.641301106,0.471225483,1,0.151790691,0.239927565,0.003314001,0.057755352,0.908069823,0.874640668,1.19334E-05
CHE_PFY_CON,Psy,-1.80411E-16,0.626426569,,0.156462119,,1,0.000144319,,0.281599595,,0.437836046,0.397681478,0.000314834
CZE_BIK,Pab,7.35523E-16,0.085393751,,0.700342747,0.202829001,1,0.759970037,,0.015234132,0.47635654,0.611849356,0.482465808,0.030194065
CZE_LAN,Cbe,4.64906E-16,0.087020385,,0.669530485,0.395805504,1,0.220976666,,7.09679E-09,6.73892E-05,0.90947868,0.899033912,1.09733E-13
CZE_LAN,Fex,5.44703E-16,0.440613533,,0.543407548,0.40744326,1,2.47217E-05,,9.27721E-06,0.000562892,0.860578303,0.844491184,2.93646E-11
CZE_LAN,Qro,-3.95517E-16,-0.442898942,,0.702462644,0.238551097,1,5.35523E-07,,1.44012E-09,0.006624536,0.915301015,0.905528055,4.63735E-14
CZE_LIZ_LES,Pab,-1.07379E-15,0.231486081,0.346087654,-0.296932769,0.498807252,1,0.029973776,0.126485265,0.020128493,0.015360621,0.607958142,0.568753956,9.68004E-08
CZE_STI,Fsy,1.11022E-16,-0.115038816,0.113374381,0.792911792,0.002855471,1,0.200808759,0.614228805,2.95786E-05,0.986965688,0.818383031,0.791476813,1.20097E-09
DEU_STE_4P5,Fsy,-4.92661E-16,0.152863027,-0.78037923,0.508140806,0.408006491,1,0.317963704,0.00430492,0.00394305,0.095499487,0.177472261,0.121707669,0.019579781
ESP_ALT_ARM,Pni,-3.46945E-18,0.222292336,-1.188312744,0.690424556,0.87001118,1,0.05336253,1.91616E-06,2.64508E-07,1.56976E-05,0.808337278,0.787616984,8.50791E-13
ESP_ALT_ARM,Qfa,8.88178E-16,-0.267115776,-1.397810728,0.841756908,0.818089734,1,0.132952167,0.000137961,1.90158E-05,0.004922019,0.533020189,0.482535885,8.27713E-06
ESP_ALT_ARM,Qil,-1.94289E-16,-0.152586292,-1.258568095,0.58813788,1.098935206,1,0.415138429,0.000941101,0.002691316,0.000565024,0.470430066,0.413179263,7.57679E-05
ESP_ALT_HUE,Pni,3.23352E-15,0.372032683,,-0.349052229,,1,0.19495893,,0.221683272,,0.317210142,0.18065217,0.148400481
ESP_ALT_HUE,Qfa,-2.10942E-15,-0.697113962,,-0.278697877,,1,0.013853246,,0.261306358,,0.478414952,0.374097943,0.03860341
ESP_CAN,Aun,-1.8735E-16,0.629126778,-0.111733369,0.314748185,0.106200595,1,8.61886E-13,0.43644805,0.000165737,0.433159007,0.472568647,0.454062283,4.07033E-15
ESP_CAN,Pha,8.67362E-18,0.902077223,-0.281945994,0.184806461,0.238809723,1,5.89111E-36,0.00169507,0.000230467,0.004487858,0.828543349,0.821884839,1.58173E-38
ESP_CAN,Qil,3.53884E-16,0.684109075,0.038062768,0.304906036,-0.176813365,1,2.92367E-19,0.742412487,8.18078E-06,0.107613317,0.656088664,0.644021599,1.45127E-25
ESP_CAN,Qpu,6.76542E-17,0.623484473,-0.334933429,0.085228909,0.225989854,1,3.52696E-12,0.02431461,0.305907334,0.105443061,0.445185774,0.425718608,6.88042E-14
ESP_TIL_MIX,Psy,1.33574E-16,0.875208749,-0.02409016,0.098792623,0.260101338,1,4.96414E-59,0.725302617,0.015811515,0.000143215,0.690534145,0.685419007,1.95559E-60
ESP_TIL_MIX,Qil,-5.89806E-17,0.424574878,-0.135246884,0.434397332,0.250010465,1,1.38845E-12,0.163912245,8.58537E-13,0.009194343,0.380825765,0.37059148,3.03524E-24
ESP_TIL_OAK,Qil,4.90493E-16,0.753079362,-0.007460142,0.379049567,0.172603963,1,2.15245E-18,0.945693163,4.02921E-07,0.108726986,0.67278298,0.658076597,7.95611E-21
